Name,Role
SMPN 3 LUMAJANG,JUARA UMUM 1
SMPN 2 TEMPEH,JUARA UMUM 2
SMP ISLAM KLOJEN LUMAJANG,JUARA UMUM 3
MAN LUMAJANG,SEKOLAH PENGIRIM ATLET
MIS NURUL ISLAM KOTA,SEKOLAH PENGIRIM ATLET
MI AL-ITTIHAD TUKUM,SEKOLAH PENGIRIM ATLET
SDN 1 Ranuyoso,SEKOLAH PENGIRIM ATLET
SDN Ditotrunan 01,SEKOLAH PENGIRIM ATLET
SDN Ditotrunan 02,SEKOLAH PENGIRIM ATLET
SDN JOGOTRUNAN 01,SEKOLAH PENGIRIM ATLET
SDN JOGOYUDAN 01,SEKOLAH PENGIRIM ATLET
SMA PGRI 1 LUMAJANG,SEKOLAH PENGIRIM ATLET
SMAN 1 LUMAJANG,SEKOLAH PENGIRIM ATLET
SMAN 3 LUMAJANG,SEKOLAH PENGIRIM ATLET
SMKN 1 LUMAJANG,SEKOLAH PENGIRIM ATLET
SMKN 1 TEMPEH,SEKOLAH PENGIRIM ATLET
SMPN 1 TEMPEH,SEKOLAH PENGIRIM ATLET
SMPN 5 LUMAJANG,SEKOLAH PENGIRIM ATLET